sample,variable,coeff,nw_se,t_stat,p_value,sig
GPRA only,const,0.1378,0.4912,0.281,0.7791,
GPRA only,dln_GPRA,0.1042,0.4801,0.217,0.8283,
GPRA only,R_SP500,0.0087,0.042,0.207,0.8365,
GPRA only,VIX,0.0178,0.0228,0.782,0.4345,
GPRT only,const,0.1405,0.4901,0.287,0.7745,
GPRT only,dln_GPRT,0.3776,0.6554,0.576,0.5648,
GPRT only,R_SP500,0.0098,0.0405,0.241,0.8099,
GPRT only,VIX,0.0177,0.0227,0.779,0.4364,
Both,const,0.1399,0.4911,0.285,0.7758,
Both,dln_GPRA,-0.0811,0.6828,-0.119,0.9055,
Both,dln_GPRT,0.4265,0.8915,0.478,0.6327,
Both,R_SP500,0.0093,0.0419,0.222,0.8246,
Both,VIX,0.0177,0.0228,0.778,0.437,
